"Gene_symbol"	"   Genes"	"Freq"
"AGO2"	"argonaute RISC catalytic component 2"	"11"
"FOXP3"	"forkhead box P3"	"11"
"AMH"	"anti-Mullerian hormone"	"10"
"PTPN22"	"protein tyrosine phosphatase non-receptor type 22"	"9"
"TPO"	"thyroid peroxidase"	"9"
"OTUD1"	"OTU deubiquitinase 1"	"8"
"ACR"	"acrosin"	"6"
"AGO1"	"argonaute RISC component 1"	"6"
"BCL6"	"BCL6 transcription repressor"	"5"
"IRF3"	"interferon regulatory factor 3"	"5"
"TSHR"	"thyroid stimulating hormone receptor"	"5"
"BTD"	"biotinidase"	"4"
"CTLA4"	"cytotoxic T-lymphocyte associated protein 4"	"4"
"IKZF3"	"IKAROS family zinc finger 3"	"4"
"NLRP1"	"NLR family pyrin domain containing 1"	"4"
"NLRP3"	"NLR family pyrin domain containing 3"	"4"
"AIM2"	"absent in melanoma 2"	"3"
"BRAF"	"B-Raf proto-oncogene, serine/threonine kinase"	"3"
"CD68"	"CD68 molecule"	"3"
"EOMES"	"eomesodermin"	"3"
"GZMB"	"granzyme B"	"3"
"IRGM"	"immunity related GTPase M"	"3"
"LGI1"	"leucine rich glioma inactivated 1"	"3"
"NLRC4"	"NLR family CARD domain containing 4"	"3"
"BACH2"	"BTB domain and CNC homolog 2"	"2"
"C3"	"complement C3"	"2"
"CD4"	"CD4 molecule"	"2"
"CXCL10"	"C-X-C motif chemokine ligand 10"	"2"
"EGFR"	"epidermal growth factor receptor"	"2"
"ICOS"	"inducible T cell costimulator"	"2"
"IFIH1"	"interferon induced with helicase C domain 1"	"2"
"MAGI2"	"membrane associated guanylate kinase, WW and PDZ domain containing 2"	"2"
"TG"	"thyroglobulin"	"2"
"TGFB1"	"transforming growth factor beta 1"	"2"
"CAT"	"catalase"	"1"
"CCR6"	"C-C motif chemokine receptor 6"	"1"
"CIC"	"capicua transcriptional repressor"	"1"
"CXCR3"	"C-X-C motif chemokine receptor 3"	"1"
"DGCR8"	"DGCR8 microprocessor complex subunit"	"1"
"FOXO3"	"forkhead box O3"	"1"
"GNA14"	"G protein subunit alpha 14"	"1"
"HLA-DPB1"	"major histocompatibility complex, class II, DP beta 1"	"1"
"HLA-DRB1"	"major histocompatibility complex, class II, DR beta 1"	"1"
"HR"	"HR lysine demethylase and nuclear receptor corepressor"	"1"
"IDO1"	"indoleamine 2,3-dioxygenase 1"	"1"
"IGLON5"	"IgLON family member 5"	"1"
"IL17A"	"interleukin 17A"	"1"
"IP6K3"	"inositol hexakisphosphate kinase 3"	"1"
"MAGI3"	"membrane associated guanylate kinase, WW and PDZ domain containing 3"	"1"
"MOG"	"myelin oligodendrocyte glycoprotein"	"1"
"MT-ND4"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4"	"1"
"PDCD5"	"programmed cell death 5"	"1"
"PRL"	"prolactin"	"1"
"PRNP"	"prion protein"	"1"
"SDK2"	"sidekick cell adhesion molecule 2"	"1"
"SIRT1"	"sirtuin 1"	"1"
"STAT6"	"signal transducer and activator of transcription 6"	"1"
"TLR4"	"toll like receptor 4"	"1"
"TNFAIP3"	"TNF alpha induced protein 3"	"1"
