"words"	"Freq"
"patients"	587
"thyroid"	388
"ht"	338
"autoimmune"	298
"s"	232
"disease"	224
"hashimoto"	214
"thyroiditis"	203
"study"	184
"encephalitis"	173
"levels"	170
"results"	157
"antibodies"	147
"clinical"	138
"de"	135
"treatment"	124
"associated"	118
"group"	115
"serum"	113
"had"	111
"significantly"	111
"may"	98
"diseases"	97
"cells"	92
"hospital"	92
"patient"	92
"university"	89
"diagnosis"	87
"increased"	85
"methods"	84
"controls"	82
"higher"	81
"cases"	80
"compared"	77
"significant"	77
"antibody"	74
"children"	74
"more"	72
"symptoms"	71
"therapy"	69
"healthy"	68
"showed"	68
"d"	67
"ptc"	65
"gd"	64
"analysis"	63
"been"	63
"expression"	63
"case"	62
"groups"	62
"has"	62
"medical"	62
"risk"	61
"hypothyroidism"	60
"found"	58
"function"	58
"(ht)"	57
"years"	57
"both"	56
"(p"	55
"features"	55
"positive"	55
"autoantibodies"	54
"background"	53
"conclusion"	53
"conclusions"	53
"disorders"	53
"association"	51
"control"	51
"hormone"	50
"those"	50
"without"	50
"department"	49
"however"	49
"level"	49
"using"	48
"age"	47
"graves"	47
"ae"	46
"cell"	46
"free"	46
"factors"	45
"including"	45
"total"	45
"used"	45
"95%"	44
"different"	44
"findings"	44
"receptor"	44
"studies"	44
"carcinoma"	42
"differences"	42
"information"	42
"performed"	42
"presence"	42
"prevalence"	42
"001)"	41
"autoimmunity"	41
"encephalopathy"	41
"subjects"	41
"ci"	40
"diagnosed"	40
"imaging"	40
"author"	39
"normal"	39
"present"	39
"aitd"	38
"medicine"	38
"pediatric"	38
"such"	38
"t"	38
"against"	37
"immune"	37
"index"	37
"objective"	37
"ratio"	37
"revealed"	37
"seizures"	37
"b"	36
"decreased"	36
"months"	36
"neurology"	36
"observed"	36
"three"	36
"treated"	36
"vitamin"	36
"women"	36
"cognitive"	35
"common"	35
"rare"	35
"titers"	35
"vs"	35
"blood"	34
"data"	34
"diagnostic"	34
"low"	34
"lower"	34
"aim"	33
"development"	33
"role"	33
"follicular"	32
"high"	32
"presentation"	32
"report"	32
"should"	32
"status"	32
"type"	32
"c"	31
"la"	31
"mutation"	31
"onset"	31
"severe"	31
"activity"	30
"although"	30
"among"	30
"early"	30
"genetic"	30
"neurological"	30
"response"	30
"tpoab"	30
"analyzed"	29
"chronic"	29
"elevated"	29
"evaluated"	29
"factor"	29
"family"	29
"follow-up"	29
"gland"	29
"inflammatory"	29
"laboratory"	29
"papillary"	29
"respectively"	29
"while"	29
"clt"	28
"correlation"	28
"detected"	28
"due"	28
"frequent"	28
"levothyroxine"	28
"presented"	28
"tgab"	28
"address"	27
"barcelona"	27
"based"	27
"brain"	27
"cancer"	27
"central"	27
"changes"	27
"did"	27
"p"	27
"research"	27
"specific"	27
"characterized"	26
"considered"	26
"effect"	26
"electronic"	26
"investigated"	26
"mri"	26
"negative"	26
"pathology"	26
"peroxidase"	26
"protein"	26
"(p = 0"	25
"assay"	25
"further"	25
"number"	25
"outcomes"	25
"review"	25
"syndrome"	25
"developed"	24
"disorder"	24
"frequency"	24
"independent"	24
"m"	24
"multiple"	24
"neuronal"	24
"p=0"	24
"sle"	24
"tsh"	24
"05)"	23
"cause"	23
"correlated"	23
"during"	23
"history"	23
"identified"	23
"included"	23
"investigate"	23
"tests"	23
"affected"	22
"brafv600e"	22
"cohort"	22
"determined"	22
"evaluate"	22
"germany"	22
"i"	22
"igg"	22
"igg4"	22
"lymph"	22
"measured"	22
"metastasis"	22
"multivariate"	22
"nlr"	22
"p = 0"	22
"pathogenesis"	22
"prognosis"	22
"psychiatric"	22
"rate"	22
"reduced"	22
"replacement"	22
"thyroglobulin"	22
"tumor"	22
"underwent"	22
"com"	21
"confirmed"	21
"describe"	21
"effects"	21
"gene"	21
"incidence"	21
"model"	21
"often"	21
"polymorphisms"	21
"primary"	21
"recent"	21
"reported"	21
"thyrotropin"	21
"value"	21
"before"	20
"detection"	20
"infectious"	20
"literature"	20
"loss"	20
"nmdar"	20
"purpose"	20
"surgery"	20
"system"	20
"thyroxine"	20
"under"	20
"(1)department"	19
"(gd)"	19
"<"	19
"addition"	19
"anti-thyroid"	19
"china"	19
"combined"	19
"difference"	19
"important"	19
"microbiota"	19
"nodules"	19
"peripheral"	19
"plasma"	19
"related"	19
"whether"	19
"(or"	18
"000"	18
"10"	18
"30"	18
"abnormal"	18
"adolescents"	18
"characteristics"	18
"child"	18
"course"	18
"described"	18
"em"	18
"endocrinology"	18
"hormones"	18
"india"	18
"lesions"	18
"magnetic"	18
"nanjing"	18
"possible"	18
"psychiatry"	18
"resonance"	18
"respectively)"	18
"school"	18
"spain"	18
"suggest"	18
"test"	18
"aimed"	17
"and/or"	17
"associations"	17
"better"	17
"caspr2"	17
"center"	17
"complications"	17
"dysfunction"	17
"e"	17
"enrolled"	17
"examination"	17
"following"	17
"form"	17
"institute"	17
"less"	17
"lymphocytic"	17
"management"	17
"mice"	17
"node"	17
"percentage"	17
"relationship"	17
"score"	17
"tissue"	17
"12"	16
"25-hydroxyvitamin"	16
"according"	16
"ataxia"	16
"cerebellar"	16
"characteristic"	16
"csf"	16
"euthyroid"	16
"functional"	16
"g"	16
"genes"	16
"impairment"	16
"initial"	16
"initiation"	16
"j"	16
"mean"	16
"memory"	16
"outcome"	16
"pacientes"	16
"presenting"	16
"proteins"	16
"retrospective"	16
"similar"	16
"surface"	16
"thyroidectomy"	16
"various"	16
"(2)department"	15
"20"	15
"acute"	15
"aie"	15
"allele"	15
"assess"	15
"causes"	15
"cervical"	15
"complex"	15
"concentrations"	15
"condition"	15
"dtc"	15
"en"	15
"evaluation"	15
"evidence"	15
"examined"	15
"fluid"	15
"four"	15
"growth"	15
"individuals"	15
"long-term"	15
"mechanisms"	15
"o"	15
"regression"	15
"several"	15
"susceptibility"	15
"syndromes"	15
"thyroid-stimulating"	15
"tissues"	15
"trab"	15
"(p = 0"	14
"1%"	14
"31"	14
"45"	14
"activation"	14
"antigens"	14
"area"	14
"clinic"	14
"diabetes"	14
"female"	14
"followed"	14
"france"	14
"herpes"	14
"hyperthyroidism"	14
"immunohistochemistry"	14
"immunotherapy"	14
"infiltration"	14
"intravenous"	14
"limbic"	14
"lymphocytes"	14
"manifestations"	14
"many"	14
"old"	14
"pathological"	14
"preoperative"	14
"received"	14
"remission"	14
"reviewed"	14
"subclinical"	14
"systemic"	14
"testing"	14
"ultrasound"	14
"variant"	14
"versus"	14
"16"	13
"acid"	13
"adolescent"	13
"adults"	13
"aitds"	13
"alleles"	13
"assessment"	13
"combination"	13
"curve"	13
"each"	13
"ft1dm"	13
"furthermore"	13
"general"	13
"hd"	13
"health"	13
"indicated"	13
"inflammation"	13
"knowledge"	13
"logistic"	13
"main"	13
"malignancy"	13
"metabolism"	13
"models"	13
"mrna"	13
"myelin"	13
"pediatrics"	13
"polymorphism"	13
"potential"	13
"prognostic"	13
"provide"	13
"retrospectively"	13
"seen"	13
"sex"	13
"show"	13
"simplex"	13
"since"	13
"size"	13
"still"	13
"tfh"	13
"whereas"	13
"(aitd)"	12
"(median"	12
"(ptc)"	12
"001"	12
"13"	12
"24"	12
"33"	12
"6%"	12
"available"	12
"benign"	12
"body"	12
"celiac"	12
"cerebrospinal"	12
"colloid"	12
"conditions"	12
"contrast"	12
"damage"	12
"despite"	12
"diffuse"	12
"elisa"	12
"frequently"	12
"girl"	12
"human"	12
"identify"	12
"importance"	12
"improved"	12
"improvement"	12
"involved"	12
"jena"	12
"known"	12
"last"	12
"lipids"	12
"median"	12
"metabolic"	12
"method"	12
"methylation"	12
"might"	12
"movement"	12
"muscle"	12
"nft1dm"	12
"novel"	12
"organ-specific"	12
"overt"	12
"pr"	12
"reports"	12
"responses"	12
"samples"	12
"se"	12
"sensitivity"	12
"specificity"	12
"stimulating"	12
"studied"	12
"therefore"	12
"tireoide"	12
"tireoidite"	12
"unknown"	12
"values"	12
"weight"	12
"(p < 0"	11
"14"	11
"27"	11
"5%"	11
"aa"	11
"abnormalities"	11
"accompanied"	11
"adult"	11
"ago2"	11
"altered"	11
"calculated"	11
"caused"	11
"cjd"	11
"comparison"	11
"cortex"	11
"current"	11
"demonstrate"	11
"demonstrated"	11
"distribution"	11
"divided"	11
"effective"	11
"el"	11
"elastography"	11
"environmental"	11
"f"	11
"foxp3"	11
"h"	11
"invasion"	11
"later"	11
"markers"	11
"moreover"	11
"poor"	11
"population"	11
"previously"	11
"progression"	11
"r"	11
"regions"	11
"routine"	11
"sequencing"	11
